SUBJECT,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49,Trial 50
43,4.7997,0.34907,2.0944,0.33161,6.2483,2.3562,2.5656,0.43633,1.9024,1.3614,5.8643,3.7525,4.9393,3.7699,5.1138,3.8397,0.38397,1.3265,2.0769,5.3407,2.4435,0.71558,3.0718,5.1662,5.1487,NaN,NaN,5.1487,NaN,NaN,NaN,NaN,5.1487,NaN,NaN,NaN,NaN,NaN,5.1487,NaN,5.1487,5.1487,NaN,NaN,NaN,NaN,NaN,5.1487,NaN,NaN
44,4.1539,4.2586,4.7473,6.2134,3.9794,5.3582,5.5152,3.6477,2.1817,5.2534,4.7298,4.1364,5.5676,3.6826,4.0841,4.2062,3.735,4.2237,3.543,3.5954,3.0892,2.1642,4.7473,4.4506,2.7053,NaN,NaN,2.7053,2.7053,NaN,2.7053,2.7053,2.7053,2.7053,2.7053,NaN,NaN,2.7053,2.7053,2.7053,NaN,NaN,NaN,2.7053,2.7053,2.7053,NaN,NaN,2.7053,2.7053
45,3.0718,2.2515,3.6128,3.0543,6.1785,0.34907,6.0039,3.8572,2.9845,2.8798,2.618,3.4558,5.4978,0.069813,1.8151,2.1817,2.618,2.7227,3.0892,3.0194,0.89012,0.31416,3.927,4.2237,2.5656,NaN,NaN,2.5656,NaN,NaN,2.5656,2.5656,NaN,NaN,NaN,2.5656,2.5656,2.5656,2.5656,2.5656,NaN,2.5656,2.5656,2.5656,NaN,NaN,2.5656,2.5656,NaN,NaN
46,5.6549,5.3582,5.3407,1.6232,5.6025,4.6949,4.3459,1.7628,4.4855,6.0214,4.5553,2.426,4.4855,2.3387,6.2308,2.6878,5.9167,2.0246,4.1364,4.66,3.159,0.087266,5.6025,4.7298,2.2864,NaN,NaN,2.2864,NaN,NaN,NaN,NaN,NaN,NaN,2.2864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2864,NaN,2.2864,2.2864,NaN,2.2864,NaN,2.2864
47,3.2638,3.6128,2.8972,2.5656,0.034907,2.3911,5.5676,5.9341,3.5256,3.6303,2.2166,6.0912,2.2689,3.1765,4.2761,4.8346,3.735,3.7001,0.66323,2.1118,5.1662,6.1959,0.97738,2.8623,3.3336,NaN,NaN,NaN,3.3336,3.3336,NaN,NaN,NaN,3.3336,NaN,NaN,3.3336,3.3336,NaN,3.3336,NaN,3.3336,3.3336,3.3336,NaN,NaN,NaN,NaN,3.3336,3.3336
48,6.1087,5.969,4.7822,2.9147,2.8449,6.0388,6.2657,2.7053,2.5482,1.2217,0.80285,4.6251,0.12217,4.2935,4.6775,2.0595,5.9516,3.159,6.161,0.24435,4.9567,3.9794,4.0317,4.8869,4.7124,NaN,NaN,4.7124,4.7124,4.7124,4.7124,NaN,4.7124,4.7124,4.7124,NaN,4.7124,4.7124,4.7124,4.7124,4.7124,NaN,4.7124,NaN,4.7124,4.7124,NaN,NaN,4.7124,4.7124
49,2.2864,3.7874,0.69813,2.9845,5.7596,4.2062,3.3859,2.4435,4.9567,2.7402,5.5501,3.0543,3.0543,5.6549,3.0543,2.3911,5.9865,0.85521,0.45379,4.1539,2.5831,1.2217,2.7227,5.8643,5.5851,NaN,5.5851,NaN,NaN,NaN,5.5851,NaN,NaN,5.5851,5.5851,NaN,NaN,NaN,NaN,NaN,NaN,5.5851,5.5851,5.5851,5.5851,5.5851,5.5851,5.5851,NaN,NaN
50,3.2289,0.2618,1.7977,5.62,0.38397,0.69813,2.2515,4.9916,5.8643,2.0246,2.9671,4.1539,6.2483,6.161,5.5152,1.2915,0.40143,4.2761,3.8921,5.7596,0.22689,4.8171,5.8818,4.4157,2.0944,NaN,NaN,2.0944,2.0944,2.0944,NaN,NaN,2.0944,2.0944,NaN,NaN,2.0944,NaN,2.0944,2.0944,NaN,2.0944,NaN,NaN,2.0944,2.0944,2.0944,2.0944,NaN,2.0944
51,1.6581,0.13963,4.119,0.34907,1.85,4.4855,0.2618,4.3982,2.1118,4.3284,1.0297,1.2043,5.1138,3.9095,3.0194,0.47124,3.8572,4.9218,1.4486,1.0472,4.2062,3.8921,3.6652,3.0892,2.6878,NaN,2.6878,2.6878,2.6878,2.6878,NaN,NaN,NaN,NaN,NaN,NaN,2.6878,NaN,NaN,2.6878,NaN,NaN,NaN,NaN,NaN,2.6878,NaN,2.6878,2.6878,2.6878
52,5.7072,2.0246,4.9218,3.1765,2.7227,0.95993,1.7977,3.4383,3.3685,3.7699,4.6775,5.4454,0.27925,0.73304,1.0297,0.75049,1.2566,4.4331,0.7854,1.2217,5.428,3.9444,3.0718,1.0647,2.2689,NaN,NaN,2.2689,NaN,2.2689,2.2689,2.2689,NaN,2.2689,2.2689,NaN,NaN,NaN,2.2689,NaN,2.2689,2.2689,NaN,2.2689,2.2689,2.2689,2.2689,NaN,NaN,NaN
